"","condition","condition_original","sizeFactor"
"Sacral_1","Sacral","Sacral",1.07416694928698
"Free_1","Free","Free",0.925104652341107
"Free_2","Free","Free",1.17397555208784
"Sacral_2","Sacral","Sacral",1.3263643831576
"Pygo_1","Pygo","Pygo",0.745429263537983
"Sacral_3","Sacral","Sacral",0.898160976975417
"Sacral_4","Sacral","Sacral",0.838240168635179
"Free_3","Free","Free",0.895047830130441
"Pygo_2","Pygo","Pygo",1.16865104969041
"Free_4","Free","Free",1.00357707813751
"Pygo_3","Pygo","Pygo",1.18915509270032
"Pygo_4","Pygo","Pygo",0.928949131363828
