Geneid,SYMBOL_display,SYMBOL_raw,Ensembl_GeneID,NCBI_GeneID
gene-HOXA1,HOXA1,HOXA1,ENSGALG00010001788,374051
gene-HOXA2,HOXA2,HOXA2,ENSGALG00010001790,396055
gene-HOXA3,HOXA3,HOXA3,ENSGALG00010001801,395231
gene-HOXA4,HOXA4,HOXA4,ENSGALG00010001808,395307
gene-HOXA5,HOXA5,HOXA5,ENSGALG00010001813,100858404
gene-HOXA6,HOXA6,HOXA6,ENSGALG00010001819,420630
gene-HOXA7,HOXA7,HOXA7,ENSGALG00010001826,395290
gene-HOXA9,HOXA9,HOXA9,ENSGALG00010001840,396096
gene-HOXA10-AS,HOXA10-AS,HOXA10-AS,"",105463054
gene-HOXA10,HOXA10,HOXA10,ENSGALG00010001844,776143
gene-HOXA11,HOXA11,HOXA11,ENSGALG00010001848,395327
gene-HOXA13,HOXA13,HOXA13,ENSGALG00010001321,373934
gene-HOXB1,HOXB1,HOXB1,ENSGALG00010023454,395900
gene-HOXB2,HOXB2,HOXB2,ENSGALG00010023438,429940
gene-HOXB3,HOXB3,HOXB3,ENSGALG00010023428,395502
gene-HOXB4,HOXB4,HOXB4,ENSGALG00010023415,396230
gene-HOXB5,HOXB5,HOXB5,ENSGALG00010023394,425096
gene-HOXB6,HOXB6,HOXB6,ENSGALG00010023383,777548
gene-HOXB7,HOXB7,HOXB7,ENSGALG00010023381,425962
gene-HOXB8,HOXB8,HOXB8,ENSGALG00010021446,395737
gene-HOXC8,HOXC8,HOXC8,ENSGALG00010025708,395711
gene-HOXC9,HOXC9,HOXC9,ENSGALG00010025958,425723
gene-HOXC10,HOXC10,HOXC10,ENSGALG00010025964,770471
gene-HOXC11,HOXC11,HOXC11,ENSGALG00010025719,430698
gene-HOXC12,HOXC12,HOXC12,ENSGALG00010025552,429400
gene-HOXC13,HOXC13,HOXC13,ENSGALG00010025397,771955
gene-HOXD1,HOXD1,HOXD1,"",101750316
gene-HOXD3,HOXD3,HOXD3,ENSGALG00010024724,431212
gene-HOXD4,HOXD4,HOXD4,ENSGALG00010024746,424139
gene-HOXD8,HOXD8,HOXD8,ENSGALG00010024753,396301
gene-HOXD9,HOXD9,HOXD9,ENSGALG00010024763,771214
gene-HOXD10,HOXD10,HOXD10,ENSGALG00010026746,771246
gene-HOXD11,HOXD11,HOXD11,ENSGALG00010024780,395328
gene-HOXD12,HOXD12,HOXD12,ENSGALG00010024782,396178
gene-HOXD13,HOXD13,HOXD13,ENSGALG00010024790,396415
gene-GDF11,GDF11,GDF11,ENSGALG00010022778,107049246
