"Pathway_Name","Pathway_ID","Total_Pathway_Genes","Genes_In_Dataset","Dataset_EntrezIDs"
"Apoptosis","gga04210",0,0,""
"Pyroptosis","gga04216",0,0,""
"Necroptosis","gga04217",0,0,""
"Pyroptosis","gga04216",0,0,""
"HIF-1 signaling","gga04066",0,0,""
"VEGF signaling","gga04370",0,0,""
"ECM-receptor interaction","gga04512",0,0,""
"Focal adhesion","gga04510",0,0,""
"Arachidonic acid metabolism","gga00590",0,0,""
"Osteoclast differentiation","gga04380",0,0,""
"Development and regeneration","gga04382",0,0,""
"TGF-beta signaling","gga04350",0,0,""
