Metabolite,Producing_Enzyme,Metabolomics_Priority,TriSI_Prediction,Downstream_Targets,Detection_Notes
25-Hydroxycholesterol (25-HC),CH25H,Tier 1,Elevated in fusing tissue (ISG product; IFN-driven production),LXR activation; INSIG binding; GPR183 precursor; NLRP3 modulation (dose-dependent),LC-MS/MS; derivatization may improve sensitivity
"7α,25-Dihydroxycholesterol (7α,25-diHC)",CH25H → CYP7B1,Tier 1,Elevated in/near fusing tissue (immune cell chemoattractant),GPR183 (EBI2) agonist → OCP/immune cell chemotaxis to bone surfaces,Very low abundance; requires sensitive LC-MS/MS. Labile—extract quickly.
7-Ketocholesterol (7-KC),Non-enzymatic (ROS at C-7),Tier 1,Elevated in fusing tissue (necroptosis → ROS → membrane cholesterol oxidation),Pro-osteoclastic (ROS-TFEB autophagy); inhibits OB differentiation at high conc; NLRP3 activator,Most abundant oxysterol in oxidatively stressed tissue; stable; good LC-MS/MS target
27-Hydroxycholesterol (27-OHC),CYP27A1,Tier 1,Elevated in fusing tissue (macrophage-derived),LXR → RANKL/TNFα in OBs → osteoclastogenesis; ER antagonist in bone,Abundant; reliable LC-MS/MS target
7β-Hydroxycholesterol (7β-OHC),Non-enzymatic (ROS); interconverts with 7-KC via HSD11B1,Tier 2,Elevated with 7-KC (oxidative stress marker),Cytotoxic; pro-inflammatory; oxiapoptophagy inducer,Co-measure with 7-KC; same LC-MS/MS run
7α-Hydroxycholesterol (7α-OHC),CYP7A1 (enzymatic) + ROS (non-enzymatic),Tier 2,Context-dependent,"Intermediate in bile acid synthesis; CYP7B1 substrate for 7α,25-diHC production from different route",Distinguish from 7β-OHC by chromatography
Cholesterol,HMGCR pathway (de novo) + dietary,Tier 2,Reference denominator for oxysterol ratios,Substrate for all oxysterols; membrane component released during necroptosis,Abundant; essential for calculating oxysterol/cholesterol ratios
24(S)-Hydroxycholesterol (24S-OHC),CYP46A1,Tier 2,Uncertain (primarily neural),LXR ligand; crosses BBB; some evidence for osteoblast effects,Include in multi-oxysterol panel
20(S)-Hydroxycholesterol (20S-OHC),CYP11A1 (side-chain cleavage intermediate),Tier 3,Uncertain for endogenous tissue levels,Potent SMO agonist → Hh → osteogenesis. Most osteogenic oxysterol in vitro.,Very low endogenous levels; may be below detection threshold. Include if panel allows.
22(R)-Hydroxycholesterol (22R-OHC),CYP11A1,Tier 3,Uncertain,Synergizes with 20S-OHC for osteogenesis; LXR ligand,Include if panel allows
"Cholesterol-5α,6α-epoxide",Non-enzymatic (ROS-mediated epoxidation),Tier 3,Elevated in oxidatively stressed tissue,Pro-inflammatory; associated with oxidative tissue damage,Include as additional ROS marker
Desmosterol,DHCR24 (penultimate cholesterol biosynthesis intermediate),Tier 3,May accumulate if biosynthesis is active while conversion to cholesterol is slow,Potent endogenous LXR ligand in macrophages; suppresses inflammatory gene expression,Include for biosynthesis flux assessment
