Component,Gene,value.var
1,ENSGALG00010028457,-0.31906318909213405
1,ENSGALG00010025719,-0.2921016496657613
1,ENSGALG00010018309,-0.2781145107677949
1,ENSGALG00010002285,-0.2598302460574382
1,ENSGALG00010023097,-0.25264140274113583
1,ENSGALG00010010928,-0.21908082625989417
1,ENSGALG00010024386,-0.21892213284608028
1,ENSGALG00010013170,-0.21517957863579226
1,ENSGALG00010014310,-0.19283855708648479
1,ENSGALG00010020636,-0.18673262713574634
1,ENSGALG00010010449,-0.17752881654583424
1,ENSGALG00010021165,-0.1605452717946576
1,ENSGALG00010006855,-0.16038304390610286
1,ENSGALG00010020254,-0.15891680372735578
1,ENSGALG00010029238,-0.15887540822842472
1,ENSGALG00010011166,-0.15713110346512235
1,ENSGALG00010017973,-0.15545748262309603
1,ENSGALG00010001461,0.15195679391208008
1,ENSGALG00010017671,-0.14999068909833685
1,ENSGALG00010014389,-0.1455873951458574
1,ENSGALG00010002384,-0.14253056041528472
1,ENSGALG00010002235,-0.1423155822634779
1,ENSGALG00010002374,-0.14226678254742253
1,ENSGALG00010028510,-0.10436189887970669
1,ENSGALG00010023677,-0.10120376629422558
1,ENSGALG00010013995,-0.10002948413227475
1,ENSGALG00010016395,-0.09052600104860188
1,ENSGALG00010018726,-0.08774563171654164
1,ENSGALG00010009458,-0.07429607419409365
1,ENSGALG00010028123,-0.07382008373251654
1,ENSGALG00010012106,-0.06989112870919235
1,ENSGALG00010012362,-0.062463435976811345
1,ENSGALG00010005369,-0.05573782330971736
1,ENSGALG00010018446,-0.04855931199060347
1,ENSGALG00010016266,-0.04850017378585718
1,ENSGALG00010008906,-0.03960591219768567
1,ENSGALG00010002700,-0.03628825359907627
1,ENSGALG00010018067,-0.02809388346331624
1,ENSGALG00010020388,-0.02615865411624847
1,ENSGALG00010010659,-0.01975952834586242
1,ENSGALG00010029401,-0.01379353824922061
1,ENSGALG00010021261,-0.01318577257077654
1,ENSGALG00010014018,-0.009054824871414504
1,ENSGALG00010004247,-0.007826290554593381
1,ENSGALG00010011754,0.006318458403483592
1,ENSGALG00010001313,-0.004651607310481394
1,ENSGALG00010001870,-0.0037877362026139867
1,ENSGALG00010020003,-0.0025270860510037854
1,ENSGALG00010002626,9.938192252593617e-4
1,ENSGALG00010029162,-9.07766188425384e-4
2,ENSGALG00010018845,0.3294327161038987
2,ENSGALG00010007069,0.2927450202260063
2,ENSGALG00010011372,0.2498494302445073
2,ENSGALG00010017016,0.24421356485874443
2,ENSGALG00010017795,-0.23670278281865748
2,ENSGALG00010009388,0.2306307901004516
2,ENSGALG00010020379,-0.22623151456145033
2,ENSGALG00010019349,0.21682110329695056
2,ENSGALG00010013344,0.20412403838785162
2,ENSGALG00010026052,-0.19668981417194334
2,ENSGALG00010002355,0.16624721331195377
2,ENSGALG00010022144,-0.163633602370529
2,ENSGALG00010009102,0.16260126348772738
2,ENSGALG00010010215,0.15882925882189297
2,ENSGALG00010004883,0.152076810100131
2,ENSGALG00010026613,-0.14832586645097204
2,ENSGALG00010006546,0.13685615682547492
2,ENSGALG00010024902,0.13223432703385352
2,ENSGALG00010002418,0.13129239993130076
2,ENSGALG00010018666,0.1285708847182042
2,ENSGALG00010002356,0.12777831844458598
2,ENSGALG00010024802,0.12703268294784603
2,ENSGALG00010003192,0.11289898879138902
2,ENSGALG00010004212,0.1081496845408339
2,ENSGALG00010025493,0.10769500831195046
2,ENSGALG00010003184,0.10732343924049838
2,ENSGALG00010012837,0.10292402781085846
2,ENSGALG00010005497,0.09968390703944055
2,ENSGALG00010026746,0.09805983039216026
2,ENSGALG00010021607,-0.09607855579063636
2,ENSGALG00010008592,-0.09489894443910964
2,ENSGALG00010023383,0.08510050100905794
2,ENSGALG00010023428,0.08299963034559808
2,ENSGALG00010025708,0.08206434480456141
2,ENSGALG00010025684,0.07776784055540127
2,ENSGALG00010004060,0.0714399932834238
2,ENSGALG00010001116,0.054803436097600244
2,ENSGALG00010024850,0.05046286799162026
2,ENSGALG00010003159,-0.04731698038162946
2,ENSGALG00010026066,0.03806578295648373
2,ENSGALG00010024695,0.03736149599274071
2,ENSGALG00010002918,0.03496447616815387
2,ENSGALG00010015043,0.03240535607163332
2,ENSGALG00010005885,0.024935562265188366
2,ENSGALG00010016470,-0.02345279113990576
2,ENSGALG00010023394,0.008970268853182847
2,ENSGALG00010029689,-0.007424445144433369
2,ENSGALG00010008158,0.006996730750883975
2,ENSGALG00010025958,0.006588671816433361
2,ENSGALG00010016451,0.0048720608035377495
