pathway,gene,group,sample,norm_expr
Necroptosis,TAB2,Sacral,Sacral_1,5247.78760298086
Necroptosis,TAB2,Sacral,Sacral_2,7075.7328221206
Necroptosis,TAB2,Sacral,Sacral_3,7398.45102419972
Necroptosis,TAB2,Sacral,Sacral_4,7528.86849872103
Necroptosis,TAB2,Free,Free_1,4655.68948237427
Necroptosis,TAB2,Free,Free_2,4648.30804210112
Necroptosis,TAB2,Free,Free_3,4464.56587623662
Necroptosis,TAB2,Free,Free_4,4811.78785884776
Necroptosis,TAB2,Pygo,Pygo_1,4997.12069569186
Necroptosis,TAB2,Pygo,Pygo_2,6132.71172938974
Necroptosis,TAB2,Pygo,Pygo_3,6470.14005761734
Necroptosis,TAB2,Pygo,Pygo_4,6865.82266419281
Necroptosis,MAP3K7,Sacral,Sacral_1,5495.42136249708
Necroptosis,MAP3K7,Sacral,Sacral_2,7511.51050685004
Necroptosis,MAP3K7,Sacral,Sacral_3,6307.33258872708
Necroptosis,MAP3K7,Sacral,Sacral_4,5840.80813971449
Necroptosis,MAP3K7,Free,Free_1,4867.557404024
Necroptosis,MAP3K7,Free,Free_2,4548.64668221
Necroptosis,MAP3K7,Free,Free_3,4264.57656396276
Necroptosis,MAP3K7,Free,Free_4,3744.60525441083
Necroptosis,MAP3K7,Pygo,Pygo_1,4557.10577268866
Necroptosis,MAP3K7,Pygo,Pygo_2,4429.03807887837
Necroptosis,MAP3K7,Pygo,Pygo_3,4274.46346671029
Necroptosis,MAP3K7,Pygo,Pygo_4,4516.93193774742
Necroptosis,TAB3,Sacral,Sacral_1,3397.98203847439
Necroptosis,TAB3,Sacral,Sacral_2,3735.02188607197
Necroptosis,TAB3,Sacral,Sacral_3,3804.44050409187
Necroptosis,TAB3,Sacral,Sacral_4,3744.75015330143
Necroptosis,TAB3,Free,Free_1,3583.37836871853
Necroptosis,TAB3,Free,Free_2,3153.38764373435
Necroptosis,TAB3,Free,Free_3,2453.50016622012
Necroptosis,TAB3,Free,Free_4,2528.95373488416
Necroptosis,TAB3,Pygo,Pygo_1,2141.04822290583
Necroptosis,TAB3,Pygo,Pygo_2,2844.3049795579
Necroptosis,TAB3,Pygo,Pygo_3,2469.82081481962
Necroptosis,TAB3,Pygo,Pygo_4,2573.87613516542
Necroptosis,NFKB1,Sacral,Sacral_1,2152.36560902816
Necroptosis,NFKB1,Sacral,Sacral_2,2518.16170760605
Necroptosis,NFKB1,Sacral,Sacral_3,2000.75492708606
Necroptosis,NFKB1,Sacral,Sacral_4,2042.3740880701
Necroptosis,NFKB1,Free,Free_1,2479.7194503289
Necroptosis,NFKB1,Free,Free_2,2767.51930159182
Necroptosis,NFKB1,Free,Free_3,2789.79504328399
Necroptosis,NFKB1,Free,Free_4,2305.75214441369
Necroptosis,NFKB1,Pygo,Pygo_1,2279.22364080013
Necroptosis,NFKB1,Pygo,Pygo_2,2109.26948694652
Necroptosis,NFKB1,Pygo,Pygo_3,2210.8133885464
Necroptosis,NFKB1,Pygo,Pygo_4,2687.98356733921
Necroptosis,FADD,Sacral,Sacral_1,2493.09476685875
Necroptosis,FADD,Sacral,Sacral_2,2723.98749987445
Necroptosis,FADD,Sacral,Sacral_3,2716.66222709516
Necroptosis,FADD,Sacral,Sacral_4,2724.75608478511
Necroptosis,FADD,Free,Free_1,2237.58468272922
Necroptosis,FADD,Free,Free_2,2092.03675121868
Necroptosis,FADD,Free,Free_3,1698.23326623615
Necroptosis,FADD,Free,Free_4,2158.2796649957
Necroptosis,FADD,Pygo,Pygo_1,1132.23352138629
Necroptosis,FADD,Pygo,Pygo_2,1415.30699042983
Necroptosis,FADD,Pygo,Pygo_3,1787.82398784695
Necroptosis,FADD,Pygo,Pygo_4,2188.49443027657
Necroptosis,CHUK,Sacral,Sacral_1,1752.98635025953
Necroptosis,CHUK,Sacral,Sacral_2,2068.81309151827
Necroptosis,CHUK,Sacral,Sacral_3,1827.06668633736
Necroptosis,CHUK,Sacral,Sacral_4,1802.58600880486
Necroptosis,CHUK,Free,Free_1,2335.95193206659
Necroptosis,CHUK,Free,Free_2,2297.32211646449
Necroptosis,CHUK,Free,Free_3,2138.43320498421
Necroptosis,CHUK,Free,Free_4,2189.16917081974
Necroptosis,CHUK,Pygo,Pygo_1,2304.71231012043
Necroptosis,CHUK,Pygo,Pygo_2,2103.27967501604
Necroptosis,CHUK,Pygo,Pygo_3,2024.12621766116
Necroptosis,CHUK,Pygo,Pygo_4,2433.93305797114
Necroptosis,CFLAR,Sacral,Sacral_1,2469.82091728015
Necroptosis,CFLAR,Sacral,Sacral_2,2030.36211933626
Necroptosis,CFLAR,Sacral,Sacral_3,2028.5895810522
Necroptosis,CFLAR,Sacral,Sacral_4,1899.2170258222
Necroptosis,CFLAR,Free,Free_1,3142.34718487625
Necroptosis,CFLAR,Free,Free_2,2920.84447065507
Necroptosis,CFLAR,Free,Free_3,2044.5834718501
Necroptosis,CFLAR,Free,Free_4,2247.95887545259
Necroptosis,CFLAR,Pygo,Pygo_1,1215.40707390519
Necroptosis,CFLAR,Pygo,Pygo_2,1399.04892947568
Necroptosis,CFLAR,Pygo,Pygo_3,1475.83776983603
Necroptosis,CFLAR,Pygo,Pygo_4,1481.24364784091
Necroptosis,CYLD,Sacral,Sacral_1,1841.42697865818
Necroptosis,CYLD,Sacral,Sacral_2,1699.38218231858
Necroptosis,CYLD,Sacral,Sacral_3,1545.37998820003
Necroptosis,CYLD,Sacral,Sacral_4,1568.76280713328
Necroptosis,CYLD,Free,Free_1,1717.64350766026
Necroptosis,CYLD,Free,Free_2,1809.23699494645
Necroptosis,CYLD,Free,Free_3,1511.65105869573
Necroptosis,CYLD,Free,Free_4,1874.2954985489
Necroptosis,CYLD,Pygo,Pygo_1,1749.32762072005
Necroptosis,CYLD,Pygo,Pygo_2,1645.48690604388
Necroptosis,CYLD,Pygo,Pygo_3,1689.43480319122
Necroptosis,CYLD,Pygo,Pygo_4,1685.77583758638
Necroptosis,IKBKB,Sacral,Sacral_1,1373.15712513691
Necroptosis,IKBKB,Sacral,Sacral_2,1577.99774072439
Necroptosis,IKBKB,Sacral,Sacral_3,1486.37052179182
Necroptosis,IKBKB,Sacral,Sacral_4,1291.99248678733
Necroptosis,IKBKB,Free,Free_1,1307.96012855186
Necroptosis,IKBKB,Free,Free_2,1489.809559398
Necroptosis,IKBKB,Free,Free_3,1560.81044271836
Necroptosis,IKBKB,Free,Free_4,1328.24875043364
Necroptosis,IKBKB,Pygo,Pygo_1,1816.40306629981
Necroptosis,IKBKB,Pygo,Pygo_2,1665.16771667259
Necroptosis,IKBKB,Pygo,Pygo_3,1732.32239650269
Necroptosis,IKBKB,Pygo,Pygo_4,1609.34538773413
Necroptosis,TNFRSF1A,Sacral,Sacral_1,673.079729812873
Necroptosis,TNFRSF1A,Sacral,Sacral_2,799.931009511983
Necroptosis,TNFRSF1A,Sacral,Sacral_3,891.822313075091
Necroptosis,TNFRSF1A,Sacral,Sacral_4,842.240716225169
Necroptosis,TNFRSF1A,Free,Free_1,2484.04328546461
Necroptosis,TNFRSF1A,Free,Free_2,2688.3012975758
Necroptosis,TNFRSF1A,Free,Free_3,1964.14084344944
Necroptosis,TNFRSF1A,Free,Free_4,2542.90383428857
Necroptosis,TNFRSF1A,Pygo,Pygo_1,1572.24844438949
Necroptosis,TNFRSF1A,Pygo,Pygo_2,1479.4835468278
Necroptosis,TNFRSF1A,Pygo,Pygo_3,1002.39237700544
Necroptosis,TNFRSF1A,Pygo,Pygo_4,1114.16219150824
Necroptosis,TNFAIP3,Sacral,Sacral_1,703.801211256614
Necroptosis,TNFAIP3,Sacral,Sacral_2,1614.18689101334
Necroptosis,TNFAIP3,Sacral,Sacral_3,1444.06184776329
Necroptosis,TNFAIP3,Sacral,Sacral_4,1424.41276936665
Necroptosis,TNFAIP3,Free,Free_1,948.000853504118
Necroptosis,TNFAIP3,Free,Free_2,1276.00612920423
Necroptosis,TNFAIP3,Free,Free_3,1756.33072008107
Necroptosis,TNFAIP3,Free,Free_4,1150.88320086336
Necroptosis,TNFAIP3,Pygo,Pygo_1,2012.2633673927
Necroptosis,TNFAIP3,Pygo,Pygo_2,2127.23892273795
Necroptosis,TNFAIP3,Pygo,Pygo_3,1644.86534347537
Necroptosis,TNFAIP3,Pygo,Pygo_4,1540.45033434618
Necroptosis,TRADD,Sacral,Sacral_1,1047.32323103663
Necroptosis,TRADD,Sacral,Sacral_2,1365.38648277682
Necroptosis,TRADD,Sacral,Sacral_3,1356.10434123029
Necroptosis,TRADD,Sacral,Sacral_4,1411.29003866059
Necroptosis,TRADD,Free,Free_1,1049.61097919327
Necroptosis,TRADD,Free,Free_2,1186.56644725066
Necroptosis,TRADD,Free,Free_3,1264.73687985482
Necroptosis,TRADD,Free,Free_4,976.506958308306
Necroptosis,TRADD,Pygo,Pygo_1,1558.83335527354
Necroptosis,TRADD,Pygo,Pygo_2,2051.08274247903
Necroptosis,TRADD,Pygo,Pygo_3,1623.00108021854
Necroptosis,TRADD,Pygo,Pygo_4,1369.28918608549
Necroptosis,RIPK1,Sacral,Sacral_1,942.125430941393
Necroptosis,RIPK1,Sacral,Sacral_2,1054.00900216565
Necroptosis,RIPK1,Sacral,Sacral_3,1204.68382365449
Necroptosis,RIPK1,Sacral,Sacral_4,1170.30898387662
Necroptosis,RIPK1,Free,Free_1,1092.84933055036
Necroptosis,RIPK1,Free,Free_2,1086.90508735954
Necroptosis,RIPK1,Free,Free_3,839.061304567994
Necroptosis,RIPK1,Free,Free_4,783.198437990131
Necroptosis,RIPK1,Pygo,Pygo_1,761.977061786034
Necroptosis,RIPK1,Pygo,Pygo_2,821.459921893979
Necroptosis,RIPK1,Pygo,Pygo_3,829.160137355173
Necroptosis,RIPK1,Pygo,Pygo_4,777.222321032802
Necroptosis,CASP8,Sacral,Sacral_1,212.257508156757
Necroptosis,CASP8,Sacral,Sacral_2,308.361718087089
Necroptosis,CASP8,Sacral,Sacral_3,293.933945882427
Necroptosis,CASP8,Sacral,Sacral_4,323.296365576517
Necroptosis,CASP8,Free,Free_1,399.954750053049
Necroptosis,CASP8,Free,Free_2,344.981630392332
Necroptosis,CASP8,Free,Free_3,313.949702508131
Necroptosis,CASP8,Free,Free_4,452.381794971399
Necroptosis,CASP8,Pygo,Pygo_1,457.45453885394
Necroptosis,CASP8,Pygo,Pygo_2,446.668832529851
Necroptosis,CASP8,Pygo,Pygo_3,407.011669857914
Necroptosis,CASP8,Pygo,Pygo_4,276.656698760984
